time,open,high,low,close,volume
2026-01-05 07:00:00,25.35,25.75,24.0,25.35,36858500
2026-01-06 07:00:00,25.45,26.75,25.0,26.65,72144100
2026-01-07 07:00:00,26.75,26.85,26.45,26.7,33897900
2026-01-08 07:00:00,26.75,27.15,26.5,26.6,47534900
2026-01-09 07:00:00,26.75,27.7,26.7,27.3,66065300
2026-01-12 07:00:00,27.55,28.2,27.55,28.2,56968300
2026-01-13 07:00:00,28.25,28.3,27.45,27.55,45769000
2026-01-14 07:00:00,27.6,27.95,26.85,27.15,45126300
2026-01-15 07:00:00,27.05,27.55,26.8,27.25,34596800
2026-01-16 07:00:00,27.4,27.7,27.05,27.05,20359500
2026-01-19 07:00:00,27.2,27.6,27.15,27.5,27218600
2026-01-20 07:00:00,27.75,28.0,27.1,27.4,28109000
2026-01-21 07:00:00,27.3,27.5,26.9,27.0,27066700
2026-01-22 07:00:00,27.15,27.45,26.9,26.95,17506700
2026-01-23 07:00:00,26.95,27.1,26.65,26.95,23036800
2026-01-26 07:00:00,26.75,26.85,26.0,26.1,31708000
2026-01-27 07:00:00,26.15,26.6,26.1,26.5,19201000
2026-01-28 07:00:00,26.55,26.75,26.2,26.55,17954900
2026-01-29 07:00:00,26.9,26.95,26.3,26.7,19308300
2026-01-30 07:00:00,26.75,27.2,26.6,27.2,28064600
2026-02-02 07:00:00,27.2,27.6,26.95,27.3,25977600
2026-02-03 07:00:00,27.5,28.1,27.5,27.7,50769200
2026-02-04 07:00:00,27.85,28.1,27.55,27.8,25733700
2026-02-05 07:00:00,27.85,27.9,27.05,27.05,25285900
2026-02-06 07:00:00,27.0,28.1,26.45,27.35,49957800
2026-02-09 07:00:00,27.8,28.1,27.4,27.6,25413800
2026-02-10 07:00:00,27.8,28.5,27.5,27.85,51318500
2026-02-11 07:00:00,28.1,29.5,28.05,29.0,104577300
